1CMET2-PWY	N10-formyl-tetrahydrofolate biosynthesis
PWY-7152	pinolenate and coniferonate biosynthesis
PWY-7154	ergosterol biosynthesis II
PWY-7155	7-dehydroporiferasterol biosynthesis
PWY-7156	superpathway of ergosterol biosynthesis II
PWY-7157	eupatolitin 3-O-glucoside biosynthesis
PWY-7158	L-phenylalanine degradation V
PWY-7159	chlorophyllide a biosynthesis III (aerobic, light independent)
PWY-7160	polymethylated myricetin biosynthesis (tomato)
PWY-7161	polymethylated quercetin biosynthesis
PWY-7163	polymethylated kaempferol biosynthesis
PWY-7164	chlorophyll a degradation III
PWY-7166	kaempferide triglycoside biosynthesis
PWY-7168	flavonol acylglucoside biosynthesis I - kaempferol derivatives
PWY-7169	hyperxanthone E biosynthesis
PWY-7170	phytochromobilin biosynthesis
PWY-7171	flavonol acylglucoside biosynthesis II - isorhamnetin derivatives
PWY-7172	flavonol acylglucoside biosynthesis III - quercetin derivatives
PWY-7173	quercetin triglucoside biosynthesis
PWY-7176	UTP and CTP de novo biosynthesis
PWY-7177	UTP and CTP dephosphorylation II
PWY-7179-1	purine deoxyribonucleosides degradation
PWY-7181	pyrimidine deoxyribonucleosides degradation
PWY-7182	linalool biosynthesis I
PWY-7183	pyrimidine nucleobases salvage I
PWY-7184	pyrimidine deoxyribonucleotides de novo biosynthesis I
PWY-7185	UTP and CTP dephosphorylation I
PWY-7186	superpathway of scopolin and esculin biosynthesis
PWY-7188	C-glycosylflavone biosynthesis II
PWY-7189	C-glycosylflavone biosynthesis III
PWY-7191	kaempferol diglycoside biosynthesis (pollen-specific)
PWY-7192	quercetin diglycoside biosynthesis (pollen-specific)
PWY-7193	pyrimidine ribonucleosides salvage I
PWY-7194	pyrimidine nucleobases salvage II
PWY-7195	pyrimidine ribonucleosides salvage III
PWY-7196	superpathway of pyrimidine ribonucleosides salvage
PWY-7197	pyrimidine deoxyribonucleotide phosphorylation
PWY-7199	pyrimidine deoxyribonucleosides salvage
PWY-7200	superpathway of pyrimidine deoxyribonucleoside salvage
PWY-7204	pyridoxal 5'-phosphate salvage II (plants)
PWY-7205	CMP phosphorylation
PWY-7206	pyrimidine deoxyribonucleotides dephosphorylation
PWY-7208	superpathway of pyrimidine nucleobases salvage
PWY-7209	superpathway of pyrimidine ribonucleosides degradation
PWY-7210	pyrimidine deoxyribonucleotides biosynthesis from CTP
PWY-7211	superpathway of pyrimidine deoxyribonucleotides de novo biosynthesis
PWY-7212	baicalein metabolism
PWY-7213	wogonin metabolism
PWY-7214	baicalein degradation (hydrogen peroxide detoxification)
PWY-7219	adenosine ribonucleotides de novo biosynthesis
PWY-7224	purine deoxyribonucleosides salvage
PWY-7226	guanosine deoxyribonucleotides de novo biosynthesis I
PWY-7227	adenosine deoxyribonucleotides de novo biosynthesis
PWY-7228	superpathway of guanosine nucleotides de novo biosynthesis I
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I
PWY-723	alkylnitronates degradation
PWY-7230	ubiquinol-6 biosynthesis from 4-aminobenzoate (eukaryotic)
PWY-7232	gibberellin biosynthesis V
PWY-7233	ubiquinol-6 bypass biosynthesis (eukaryotic)
PWY-7235	superpathway of ubiquinol-6 biosynthesis (eukaryotic)
PWY-7238	sucrose biosynthesis II
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II
PWY-7245	superpathway NAD/NADP - NADH/NADPH interconversion (yeast)
PWY-7246	pectin degradation II
PWY-7250	[2Fe-2S] iron-sulfur cluster biosynthesis
PWY-7251	pentacyclic triterpene biosynthesis
PWY-7252	luteolinidin 5-O-glucoside biosynthesis
PWY-7253	apigeninidin 5-O-glucoside biosynthesis
PWY-7256	cyanidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-7259	pelargonidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-7260	delphinidin diglucoside biosynthesis (acyl-glucose dependent)
PWY-7261	anthocyanidin 3-malylglucoside biosynthesis (acyl-glucose dependent)
PWY-7262	rose anthocyanin biosynthesis II (via cyanidin 3-O-&beta;-D-glucoside)
PWY-7265	lampranthin biosynthesis
PWY-7267	anthocyanin biosynthesis (pelargonidin 3-O-glucoside)
PWY-7268	NAD/NADP-NADH/NADPH cytosolic interconversion (yeast)
PWY-7269	NAD/NADP-NADH/NADPH mitochondrial interconversion (yeast)
PWY-7270	L-methionine salvage cycle II (plants)
PWY-7277	sphingolipid biosynthesis (mammals)
PWY-7279	aerobic respiration II (cytochrome c) (yeast)
PWY-7280	ternatin C3 biosynthesis
PWY-7282	4-amino-2-methyl-5-phosphomethylpyrimidine biosynthesis (yeast)
PWY-7283	wybutosine biosynthesis
PWY-7288	fatty acid &beta;-oxidation (peroxisome, yeast)
PWY-7291	oleate &beta;-oxidation (isomerase-dependent, yeast)
PWY-7292	oleate &beta;-oxidation (thioesterase-dependent, yeast)
PWY-7297	octopamine biosynthesis
PWY-7298	nevadensin biosynthesis
PWY-7299	progesterone biosynthesis
PWY-7300	ecdysone and 20-hydroxyecdysone biosynthesis
PWY-7305	superpathway of steroid hormone biosynthesis
PWY-7306	estradiol biosynthesis II
PWY-7307	oleate &beta;-oxidation (reductase-dependent, yeast)
PWY-7321	ecdysteroid metabolism (arthropods)
PWY-7325	salvigenin biosynthesis
PWY-7337	10-cis-heptadecenoyl-CoA degradation (yeast)
PWY-7338	10-trans-heptadecenoyl-CoA degradation (reductase-dependent, yeast)
PWY-7339	10-trans-heptadecenoyl-CoA degradation (MFE-dependent, yeast)
PWY-7340	9-cis, 11-trans-octadecadienoyl-CoA degradation (isomerase-dependent, yeast)
PWY-7341	superpathway of hyoscyamine and scopolamine biosynthesis
PWY-7342	superpathway of nicotine biosynthesis
PWY-7343	UDP-glucose biosynthesis
PWY-7344	UDP-D-galactose biosynthesis
PWY-7345	superpathway of anaerobic sucrose degradation
PWY-7346	UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)
PWY-735	jasmonic acid biosynthesis
PWY-7351	pyruvate fermentation to opines
PWY-7356	thiamin salvage IV (yeast)
PWY-7357	thiamin formation from pyrithiamine and oxythiamine (yeast)
PWY-7363	papaverine biosynthesis
PWY-7366	phosphatidylglycerol degradation
PWY-7367	phosphatidylcholine resynthesis via glycerophosphocholine
PWY-7369	thiamin triphosphate metabolism
PWY-7375	mRNA capping I
PWY-7379	mRNA capping II
PWY-7382	lipoate biosynthesis and incorporation (pyruvate dehydrogenase and oxoglutarate dehydrogenase, yeast)
PWY-7383	anaerobic energy metabolism (invertebrates, cytosol)
PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)
PWY-7385	1,3-propanediol biosynthesis (engineered)
PWY-7388	octanoyl-[acyl-carrier protein] biosynthesis (mitochondria, yeast)
PWY-7389	superpathway of anaerobic energy metabolism (invertebrates)
PWY-7391	isoprene biosynthesis II (engineered)
PWY-7392	taxadiene biosynthesis (engineered)
PWY-7393	&beta;-carotene biosynthesis (engineered)
PWY-7396	butanol and isobutanol biosynthesis (engineered)
PWY-7397	naringenin biosynthesis (engineered)
PWY-7398	coumarins biosynthesis (engineered)
PWY-7404	ceramide phosphoethanolamine biosynthesis
PWY-7409	phospholipid remodeling (phosphatidylethanolamine, yeast)
PWY-7410	ipsdienol biosynthesis
PWY-7411	superpathway of phosphatidate biosynthesis (yeast)
PWY-7416	phospholipid remodeling (phosphatidylcholine, yeast)
PWY-7417	phospholipid remodeling (phosphatidate, yeast)
PWY-7420	monoacylglycerol metabolism (yeast)
PWY-7423	bombykol biosynthesis
PWY-7424	sterol:steryl ester interconversion (yeast)
PWY-7426	mannosyl-glycoprotein N-acetylglucosaminyltransferases
PWY-7430	indole degradation to anthranil and anthranilate
PWY-7432	L-phenylalanine biosynthesis III (cytosolic, plants)
PWY-7433	mucin core 1 and core 2 O-glycosylation
PWY-7434	terminal O-glycans residues modification
PWY-7435	mucin core 3 and core 4 O-glycosylation
PWY-7436	vitamin E biosynthesis (tocotrienols)
PWY-7437	protein O-[N-acetyl]-glucosylation
PWY-7442	drosopterin and aurodrosopterin biosynthesis
PWY-7443	(4S)-carvone biosynthesis
PWY-7444	luteolin triglucuronide biosynthesis
PWY-7445	luteolin triglucuronide degradation
PWY-7448	galloylated catechin biosynthesis
PWY-7449	acylated cyanidin galactoside biosynthesis
PWY-7450	anthocyanidin modification (Arabidopsis)
PWY-7452	cyanidin dimalonylglucoside biosynthesis
PWY-7455	allopregnanolone biosynthesis
PWY-7458	violdelphin biosynthesis
PWY-7460	2-O-acetyl-3-O-trans-coutarate biosynthesis
PWY-7461	hydroxycinnamate sugar acid ester biosynthesis
PWY-7463	N-methylanthraniloyl-&beta;-D-glucopyranose biosynthesis
PWY-7464	cyanidin 3,7-diglucoside polyacylation biosynthesis
PWY-7466	acetone degradation III (to propane-1,2-diol)
PWY-7468	benzoyl-&beta;-D-glucopyranose biosynthesis
PWY-7473	avenacin A-1 biosynthesis
PWY-7474	avenacin A-2 biosynthesis
PWY-7475	des-methyl avenacin A-1 biosynthesis
PWY-7476	superpathway avenacin A biosynthesis
PWY-7477	momilactone A biosynthesis
PWY-7478	oryzalexin D and E biosynthesis
PWY-7481	oryzalide A biosynthesis
PWY-7484	phytocassanes biosynthesis, shared reactions
PWY-7487	(+)-secoisolariciresinol diglucoside biosynthesis
PWY-7489	oryzalexin A, B, and C biosynthesis
PWY-7490	patulin biosynthesis
PWY-7491	podophyllotoxin glucosides metabolism
PWY-7492	paspaline biosynthesis
PWY-7493	paxilline and diprenylpaxilline biosynthesis
PWY-7494	choline degradation IV
PWY-7495	gossypetin metabolism
PWY-7496	linuron degradation
PWY-7497	3&beta;-hydroxysesquiterpene lactone biosynthesis
PWY-7498	phenylpropanoids methylation (ice plant)
PWY-7501	phosphatidylserine biosynthesis I
PWY-7506	phosphatidylserine biosynthesis II
PWY-7507	chelerythrine biosynthesis
PWY-7511	protein ubiquitylation
PWY-7517	brassicicene C biosynthesis
PWY-7518	atromentin biosynthesis
PWY-7520	terrequinone A biosynthesis
PWY-7522	(R)-canadine biosynthesis
PWY-7523	L-arginine degradation XII
PWY-7525	fumitremorgin C biosynthesis
PWY-7526	fumitremorgin A biosynthesis
PWY-7527	L-methionine salvage cycle III
PWY-7528	L-methionine salvage cycle I (bacteria and plants)
PWY-7532	acetylaszonalenin biosynthesis
PWY-7533	gliotoxin biosynthesis
PWY-7534	gliotoxin inactivation
PWY-7535	lovastatin biosynthesis
PWY-7537	superpathway of fumitremorgin biosynthesis
PWY-7540	aflatrem biosynthesis
PWY-7542	fumiquinazoline D biosynthesis
PWY-7543	5-N-acetylardeemin biosynthesis
PWY-7546	diphthamide biosynthesis (eukaryotes)
PWY-7549	asperlicin E biosynthesis
PWY-7550	ergothioneine biosynthesis II (fungi)
PWY-7555	&alpha;-cyclopiazonate biosynthesis
PWY-7556	(-)-microperfuranone biosynthesis
PWY-7558	&alpha;-cyclopiazonate detoxification
PWY-7559	glutathione degradation (DUG pathway - yeast)
PWY-7560	methylerythritol phosphate pathway II
PWY-7561	tenellin biosynthesis
PWY-7563	bassianin and desmethylbassianin biosynthesis
PWY-7565	aspyridone A biosynthesis
PWY-7571	ferrichrome A biosynthesis
PWY-7572	lolitrem B biosynthesis
PWY-7574	propanoyl-CoA degradation II
PWY-7577	ferrichrome biosynthesis
PWY-7589	palmitoleate biosynthesis III (cyanobacteria)
PWY-7590	(7Z,10Z,13Z)-hexadecatrienoate biosynthesis
PWY-7592	arachidonate biosynthesis III (metazoa)
PWY-7599	anditomin biosynthesis
PWY-7600	peramine biosynthesis
PWY-7601	arachidonate biosynthesis IV (8-detaturase)
PWY-7602	icosapentaenoate biosynthesis V (&Delta;8 desaturase)
PWY-7603	stephacidin A biosynthesis
PWY-7604	notoamide C and D biosynthesis
PWY-7605	roquefortine C biosynthesis
PWY-7606	docosahexaenoate biosynthesis III (mammals)
PWY-7607	meleagrin biosynthesis
PWY-7608	neoxaline biosynthesis
PWY-7609	superpathway of roquefortine, meleagrin and neoxaline biosynthesis
PWY-7612	chaetoglobosin A biosynthesis
PWY-7614	methiin metabolism
PWY-7615	pterocarpan phytoalexins modification (maackiain, medicarpin, pisatin, phaseollin)
PWY-7618	ricinoleate biosynthesis
PWY-7619	juniperonate biosynthesis
PWY-762	phospholipid desaturation
PWY-7622	UDP-galactofuranose biosynthesis
PWY-7625	phosphatidylinositol biosynthesis II (eukaryotes)
PWY-7629	yatein biosynthesis
PWY-7630	pluviatolide biosynthesis
PWY-7631	arctigenin and isoarctigenin biosynthesis
PWY-7632	hinokiresinol biosynthesis
PWY-7633	calycosin 7-O-glucoside biosynthesis
PWY-7634	vernolate biosynthesis II
PWY-7635	kievitone detoxification
PWY-7636	astaxanthin biosynthesis (flowering plants)
PWY-7640	neophaseic acid biosynthesis
PWY-7642	7'-hydroxyabscisate biosynthesis
PWY-7643	coniferyl alcohol 9-methyl ester biosynthesis
PWY-7648	4-methyl-proline biosynthesis
PWY-7649	3-hydroxy-L-homotyrosine biosynthesis
PWY-7650	echinocandin B biosynthesis
PWY-7653	griseofulvin biosynthesis
PWY-7654	(8E,10E)-dodeca-8,10-dienol biosynthesis
PWY-7655	dechlorogriseofulvin biosynthesis
PWY-7656	Spodoptera littoralis pheromone biosynthesis
PWY-7659	viridicatumtoxin biosynthesis
PWY-7660	tryptoquialanine biosynthesis
PWY-7662	glycogen degradation III (via anhydrofructose)
PWY-7665	aureobasidin A biosynthesis
PWY-7667	apicidin biosynthesis
PWY-7668	apicidin F biosynthesis
PWY-7669	equisetin biosynthesis
PWY-7670	fusaridione A biosynthesis
PWY-7672	fusaric acid biosynthesis
PWY-7673	fusarin C biosynthesis
PWY-782	glycolipid desaturation
PWY-801	L-homocysteine and L-cysteine interconversion
PWY-82	UDP-L-arabinose biosynthesis II (from L-arabinose)
PWY-821	superpathway of sulfur amino acid biosynthesis (Saccharomyces cerevisiae)
PWY-822	fructan biosynthesis
PWY-83	monolignol glucosides biosynthesis
PWY-84	resveratrol biosynthesis
PWY-841	superpathway of purine nucleotides de novo biosynthesis I
PWY-842	starch degradation I
PWY-861	dhurrin biosynthesis
PWY-862	fructan degradation
PWY-881	trehalose biosynthesis II
PWY-882	L-ascorbate biosynthesis I (L-galactose pathway)
PWY-922	mevalonate pathway I
PWY-981	salicylate biosynthesis II
PWY0-1021	L-alanine biosynthesis III
PWY0-1182	trehalose degradation II (trehalase)
PWY0-1264	biotin-carboxyl carrier protein assembly
PWY0-1275	lipoate biosynthesis and incorporation II
PWY0-1295	pyrimidine ribonucleosides degradation
PWY0-1296	purine ribonucleosides degradation
PWY0-1301	melibiose degradation
PWY0-1305	glutamate dependent acid resistance
PWY0-1312	acetate formation from acetyl-CoA I
PWY0-1313	acetate conversion to acetyl-CoA
PWY0-1319	CDP-diacylglycerol biosynthesis II
PWY0-1325	superpathway of L-asparagine biosynthesis
PWY0-1334	NADH to cytochrome bd oxidase electron transfer I
PWY0-1466	trehalose degradation VI (periplasmic)
PWY0-1507	biotin biosynthesis from 8-amino-7-oxononanoate I
PWY0-1517	sedoheptulose bisphosphate bypass
PWY0-1535	D-serine degradation
PWY0-162	superpathway of pyrimidine ribonucleotides de novo biosynthesis
PWY0-321	phenylacetate degradation I (aerobic)
PWY0-42	2-methylcitrate cycle I
PWY0-501	lipoate biosynthesis and incorporation I
PWY0-522	lipoate salvage I
PWY0-662	PRPP biosynthesis I
PWY1F-353	glycine betaine biosynthesis III (plants)
PWY1F-467	phenylpropanoid biosynthesis, initial reactions
PWY1F-823	leucopelargonidin and leucocyanidin biosynthesis
PWY1F-FLAVSYN	flavonoid biosynthesis
PWY2OL-4	superpathway of linalool biosynthesis
PWY3DJ-11281	sphingomyelin metabolism
PWY3DJ-11470	sphingosine and sphingosine-1-phosphate metabolism
PWY3DJ-12	ceramide de novo biosynthesis
PWY3DJ-35471	L-ascorbate biosynthesis IV
PWY3O-1109	superpathway of 4-hydroxybenzoate biosynthesis (yeast)
PWY3O-19	ubiquinol-6 biosynthesis from 4-hydroxybenzoate (eukaryotic)
PWY3O-246	(R,R)-butanediol degradation
PWY3O-355	stearate biosynthesis III (fungi)
PWY3O-4106	NAD salvage pathway III
PWY3O-4108	L-tyrosine degradation III
PWY3O-440	acetoin biosynthesis III
PWY3O-450	phosphatidylcholine biosynthesis I
PWY3O-6	dehydro-D-arabinono-1,4-lactone biosynthesis
PWY4FS-11	L-ascorbate biosynthesis II (L-gulose pathway)
PWY4FS-12	VTC2 cycle
PWY4FS-13	extended VTC2 cycle
PWY4FS-17	abscisic acid biosynthesis shunt
PWY4FS-2	phosphatidylcholine biosynthesis II
PWY4FS-3	phosphatidylcholine biosynthesis III
PWY4FS-4	phosphatidylcholine biosynthesis IV
PWY4FS-5	superpathway of phosphatidylcholine biosynthesis
PWY4FS-6	phosphatidylethanolamine biosynthesis II
PWY4FS-7	phosphatidylglycerol biosynthesis I (plastidic)
PWY4FS-8	phosphatidylglycerol biosynthesis II (non-plastidic)
PWY4LZ-257	superpathway of fermentation (Chlamydomonas reinhardtii)
PWY66-161	oxidative ethanol degradation III
PWY66-162	ethanol degradation IV
PWY66-201	nicotine degradation IV
PWY66-21	ethanol degradation II
PWY66-221	nicotine degradation V
PWY66-241	bupropion degradation
PWY66-3	cholesterol biosynthesis II (via 24,25-dihydrolanosterol)
PWY66-301	catecholamine biosynthesis
PWY66-341	cholesterol biosynthesis I
PWY66-366	flavin biosynthesis IV (mammalian)
PWY66-367	ketogenesis
PWY66-368	ketolysis
PWY66-373	sucrose degradation V (sucrose &alpha;-glucosidase)
PWY66-374	C20 prostanoid biosynthesis
PWY66-375	leukotriene biosynthesis
PWY66-377	pregnenolone biosynthesis
PWY66-378	androgen biosynthesis
PWY66-380	estradiol biosynthesis I (via estrone)
PWY66-381	glucocorticoid biosynthesis
PWY66-382	mineralocorticoid biosynthesis
PWY66-387	fatty acid &alpha;-oxidation II
PWY66-388	fatty acid &alpha;-oxidation III
PWY66-389	phytol degradation
PWY66-391	fatty acid &beta;-oxidation VI (peroxisome)
PWY66-392	lipoxin biosynthesis
PWY66-393	aspirin-triggered lipoxin biosynthesis
PWY66-394	aspirin triggered resolvin E biosynthesis
PWY66-395	aspirin triggered resolvin D biosynthesis
PWY66-397	resolvin D biosynthesis
PWY66-398	TCA cycle III (animals)
PWY66-399	gluconeogenesis III
PWY66-4	cholesterol biosynthesis III (via desmosterol)
PWY66-409	superpathway of purine nucleotide salvage
PWY66-420	carnosine biosynthesis
PWY66-421	homocarnosine biosynthesis
PWY66-422	D-galactose degradation V (Leloir pathway)
PWY66-423	fructose 2,6-bisphosphate biosynthesis
PWY66-425	L-lysine degradation II (L-pipecolate pathway)
PWY66-426	hydrogen sulfide biosynthesis II (mammalian)
PWY66-428	L-threonine degradation V
PWY66-5	superpathway of cholesterol biosynthesis
PWY6666-1	anandamide degradation
PWY6666-2	dopamine degradation
PWY8J2-20	pulcherrimin biosynthesis
PWYDQC-4	indole-3-acetate biosynthesis I
PWYQT-4427	sulfolipid biosynthesis
PWYQT-4429	CO2 fixation into oxaloacetate (anaplerotic)
PWYQT-4450	aliphatic glucosinolate biosynthesis, side chain elongation cycle
PWYQT-4471	glucosinolate biosynthesis from dihomomethionine
PWYQT-4472	glucosinolate biosynthesis from trihomomethionine
PWYQT-4473	glucosinolate biosynthesis from tetrahomomethionine
PWYQT-4474	glucosinolate biosynthesis from pentahomomethionine
PWYQT-4475	glucosinolate biosynthesis from hexahomomethionine
PWYQT-4476	indole glucosinolate breakdown (insect chewing induced)
PWYQT-4477	indole glucosinolate breakdown (active in intact plant cell)
PYRIDNUCSAL-PWY	NAD salvage pathway I
PYRIDNUCSYN-PWY	NAD biosynthesis I (from aspartate)
PYRUVDEHYD-PWY	pyruvate decarboxylation to acetyl CoA
RIBOSYN2-PWY	flavin biosynthesis I (bacteria and plants)
SALVADEHYPOX-PWY	adenosine nucleotides degradation II
SALVPURINE2-PWY	xanthine and xanthosine salvage
SAM-PWY	S-adenosyl-L-methionine biosynthesis
SER-GLYSYN-PWY	superpathway of L-serine and glycine biosynthesis I
SERDEG-PWY	L-serine degradation
SERSYN-PWY	L-serine biosynthesis
SO4ASSIM-PWY	sulfate reduction I (assimilatory)
SOPHOROSYLOXYDOCOSANOATE-DEG-PWY	sophorosyloxydocosanoate deacetylation
SOPHOROSYLOXYDOCOSANOATE-SYN-PWY	sophorolipid biosynthesis
SORBDEG-PWY	D-sorbitol degradation II
SPHINGOLIPID-SYN-PWY	sphingolipid biosynthesis (yeast)
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)
SUCUTIL-PWY	sucrose degradation I (sucrose phosphotransferase)
SULFMETII-PWY	sulfate reduction II (assimilatory)
THIOREDOX-PWY	thioredoxin pathway
THISYNARA-PWY	superpathway of thiamin diphosphate biosynthesis III (eukaryotes)
THREONINE-DEG2-PWY	L-threonine degradation II
THRESYN-PWY	superpathway of L-threonine biosynthesis
TRESYN-PWY	trehalose biosynthesis I
TRIGLSYN-PWY	diacylglycerol and triacylglycerol biosynthesis
TRNA-CHARGING-PWY	tRNA charging
TRPSYN-PWY	L-tryptophan biosynthesis
TRYPANOSYN-PWY	trypanothione biosynthesis
TRYPTOPHAN-DEGRADATION-1	L-tryptophan degradation III (eukaryotic)
TYRFUMCAT-PWY	L-tyrosine degradation I
TYRSYN	L-tyrosine biosynthesis I
UDPNACETYLGALSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis II
UDPNAGSYN-PWY	UDP-N-acetyl-D-glucosamine biosynthesis I
URDEGR-PWY	superpathway of allantoin degradation in plants
URSIN-PWY	ureide biosynthesis
VALDEG-PWY	L-valine degradation I
VALSYN-PWY	L-valine biosynthesis
XYLCAT-PWY	xylose degradation I
